kommunId;kommun;totalBefolkning;forskningUtbildning;eftergymnasial3Plus;eftergymnasialMindre3;gymnasial3Ar;gymnasialHogst2Ar;grundskola;forgymnasial;kommunNormalized
1060;Olofström;6460;0.14;0.15;0.30;0.27;0.09;0.03;0.03;olofstrom
1080;Karlskrona;32676;0.32;0.18;0.24;0.17;0.06;0.01;0.02;karlskrona
1081;Ronneby;13709;0.21;0.16;0.28;0.23;0.08;0.03;0.02;ronneby
1082;Karlshamn;15647;0.24;0.16;0.27;0.21;0.07;0.02;0.02;karlshamn
1083;Sölvesborg;8520;0.20;0.15;0.30;0.22;0.09;0.02;0.02;solvesborg
1214;Svalöv;7598;0.23;0.16;0.28;0.19;0.09;0.02;0.04;svalov
1230;Staffanstorp;13757;0.37;0.17;0.23;0.14;0.05;0.01;0.02;staffanstorp
1231;Burlöv;10554;0.27;0.15;0.22;0.19;0.09;0.04;0.05;burlov
1233;Vellinge;18120;0.39;0.19;0.23;0.12;0.04;0.00;0.02;vellinge
1256;Östra Göinge;6811;0.16;0.13;0.28;0.25;0.12;0.03;0.03;ostra goinge
1257;Örkelljunga;5165;0.15;0.13;0.31;0.22;0.12;0.03;0.03;orkelljunga
1260;Bjuv;8370;0.13;0.13;0.29;0.24;0.13;0.04;0.04;bjuv
1261;Kävlinge;16397;0.35;0.17;0.24;0.15;0.06;0.01;0.02;kavlinge
1262;Lomma;11656;0.54;0.17;0.15;0.09;0.03;0.01;0.01;lomma
1263;Svedala;11859;0.30;0.17;0.27;0.17;0.07;0.01;0.02;svedala
1264;Skurup;8825;0.21;0.15;0.30;0.20;0.09;0.02;0.03;skurup
1265;Sjöbo;9901;0.18;0.14;0.31;0.22;0.10;0.01;0.03;sjobo
1266;Hörby;7927;0.20;0.15;0.30;0.20;0.10;0.02;0.03;horby
1267;Höör;8865;0.31;0.17;0.25;0.16;0.08;0.01;0.02;hoor
1270;Tomelilla;6576;0.17;0.13;0.32;0.22;0.11;0.03;0.03;tomelilla
1272;Bromölla;6102;0.17;0.14;0.29;0.24;0.10;0.03;0.02;bromolla
1273;Osby;6219;0.19;0.14;0.30;0.23;0.10;0.03;0.02;osby
1275;Perstorp;3523;0.15;0.11;0.28;0.24;0.14;0.05;0.03;perstorp
1276;Klippan;9057;0.16;0.14;0.31;0.23;0.11;0.02;0.03;klippan
1277;Åstorp;8464;0.15;0.13;0.30;0.22;0.11;0.04;0.04;astorp
1278;Båstad;7375;0.28;0.17;0.26;0.18;0.07;0.01;0.03;bastad
1280;Malmö;207829;0.38;0.17;0.17;0.13;0.07;0.04;0.05;malmo
